ra       dec         new_ra      new_dec         radius 
3.925       27.4472222222       3.9329421       +27.4443120       0.00487821617338       1044 
3.96375       16.0902777778       3.9642390       +16.0896227       0.0075670526993       1051 
3.96916666667       19.7744444444       3.9690620       +19.7742726       0.00271628168745       1052 
3.98583333333       14.0722222222       3.9894561       +14.0760008       0.00539795715307       1056 
3.99333333333       -0.304166666667       3.9928181       -0.3037488       0.00658936752477       1058 
4.175       7.05361111111       4.1837860       +7.0700171       0.00296066939933       1106 
4.175       12.3369444444       4.2003880       +12.3475393       0.0138886204054       1107 
4.175       29.6144444444       4.2041286       +29.6194127       0.00508214380272       1108 
4.225       27.8519444444       4.2236072       +27.8482719       0.00420502758444       1113 
4.225       29.9408333333       4.2288701       +29.9478961       0.00278170389534       1119 
4.25       17.5277777778       4.2433938       +17.5070484       0.0017105217259       1124 
4.27291666667       -13.4866666667       4.2727206       -13.4871656       0.00564779448629       1125 
4.275       34.4775       4.2668523       +34.4930021       0.00518809449827       1128 
4.275       23.7519444444       4.2882639       +23.7512421       0.00519973353589       1129 
4.275       6.71722222222       4.2910498       +6.7195645       0.00443248826356       1131 
4.32083333333       30.2136111111       4.3223597       +30.2094863       0.00274506135145       1138 
4.33041666667       6.72333333333       4.3300999       +6.7223099       0.00446983658427       1139 
4.35       18.09       4.3489891       +18.0842649       0.00918153244324       1144 
4.35       26.2608333333       4.3761356       +26.2594877       0.00244946462377       1147 
4.37666666667       -6.82555555556       4.3764589       -6.8249139       0.00955309396497       1149 
4.37666666667       22.4922222222       4.3784852       +22.4722124       0.00190608888937       1153 
4.40041666667       30.2052777778       4.3993632       +30.2049914       0.00855278533444       1154 
4.425       24.6719444444       4.4241620       +24.6672195       0.00496298628358       1158 
4.44       11.4494444444       4.4396822       +11.4502271       0.00806832753304       1160 
4.49958333333       24.5616666667       4.4993908       +24.5630404       0.00452026882993       1170 
4.55       19.3958333333       4.5561223       +19.3936333       0.00257049045076       1186 
4.57625       30.0719444444       4.577042       30.07175       0.00876157384167       1187 
4.70875       -10.3611111111       4.708917       -10.361611       0.00599489862282       1221 
4.71208333333       -10.3772222222       4.712025       -10.376842       0.00572539816123       1224 
4.75       15.7375       4.7821739       +15.7519258       0.00636276763505       1237 
4.775       19.3875       4.7531395       +19.4019191       0.00205268497249       1238 
4.825       6.43722222222       4.8509549       +6.4494750       0.0112705413595       1255 
